snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,roe,tot_return,moneyness,moneyness_bucket,lastPrice,bid,ask,volume,openInterest,impliedVolatility,contractSymbol,lastTradeDate,change,percentChange,inTheMoney,contractSize,currency,r,q,low_premium_flag,far_tenor_flag
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,190.0,0.4571663308941562,10.260991063347474,10.261939291504866,1.0009482281573923,ATM,1.54,1.51,1.54,97264.0,14783.0,0.2905344384765624,NVDA260223C00190000,2026-02-20 20:59:58+00:00,0.13999999,9.999999,False,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,192.5,0.03132646323432691,3.4647502291822643,3.4788688287627805,1.014118599580516,ATM,0.52,0.52,0.53,56820.0,16302.0,0.266608896484375,NVDA260223C00192500,2026-02-20 20:59:58+00:00,-0.100000024,-16.129036,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,195.0,0.00020698353463816026,1.0660769935945427,1.0933659645981821,1.0272889710036395,ATM,0.16,0.15,0.16,28852.0,13199.0,0.270515107421875,NVDA260223C00195000,2026-02-20 20:59:54+00:00,-0.09,-36.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,197.5,1.0543452303321769e-06,0.3331490604982946,0.3736084029250577,1.0404593424267632,ATM,0.05,0.05,0.06,6804.0,6733.0,0.2968820312499999,NVDA260223C00197500,2026-02-20 20:59:59+00:00,-0.06,-54.545456,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,200.0,1.3946182671713896e-08,0.19988943629897676,0.2535191501488634,1.0536297138498867,OTM,0.03,0.02,0.03,5642.0,7500.0,0.33399103515625,NVDA260223C00200000,2026-02-20 20:59:33+00:00,-0.04,-57.142853,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,202.5,6.786620942995295e-10,0.13325962419931783,0.20005970947232798,1.0668000852730102,OTM,0.02,0.01,0.02,973.0,6654.0,0.3789124609375,NVDA260223C00202500,2026-02-20 20:48:56+00:00,-0.030000001,-60.000004,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,205.0,3.021549874080314e-10,0.13325962419931783,0.2132300808954517,1.079970456696134,OTM,0.02,0.01,0.02,812.0,2258.0,0.4414118359375,NVDA260223C00205000,2026-02-20 20:47:55+00:00,-0.01,-33.333336,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,207.5,1.2693968549810347e-10,0.13325962419931783,0.2264004523185752,1.0931408281192574,OTM,0.02,0.01,0.02,1368.0,981.0,0.500005,NVDA260223C00207500,2026-02-20 20:59:33+00:00,-0.01,-33.333336,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,210.0,1.7191633794078696e-12,0.06662981209965892,0.17294101164204,1.106311199542381,OTM,0.01,0.0,0.01,509.0,1860.0,0.51562984375,NVDA260223C00210000,2026-02-20 20:59:51+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,212.5,2.2498218760855552e-14,0.06662981209965892,0.1861113830651635,1.1194815709655046,OTM,0.01,0.0,0.01,1435.0,2811.0,0.5312546875,NVDA260223C00212500,2026-02-20 20:09:01+00:00,-0.01,-50.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,215.0,9.887193599868883e-15,0.06662981209965892,0.199281754488287,1.132651942388628,OTM,0.01,0.0,0.01,70.0,1565.0,0.57812921875,NVDA260223C00215000,2026-02-20 20:15:59+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,220.0,1.2575036312095973e-14,0.06662981209965892,0.2256224973345342,1.1589926852348753,OTM,0.01,0.0,0.01,9.0,2183.0,0.6875031250000001,NVDA260223C00220000,2026-02-20 18:49:34+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,230.0,3.3497808144946234e-15,0.06662981209965892,0.27830398302702863,1.2116741709273697,Deep OTM,0.01,0.0,0.01,1.0,947.0,0.87500125,NVDA260223C00230000,2026-02-18 14:33:57+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,240.0,3.4201736939082156e-16,0.06662981209965892,0.33098546871952306,1.2643556566198642,Deep OTM,0.01,0.0,0.01,7.0,310.0,1.0312548437500002,NVDA260223C00240000,2026-02-20 16:37:36+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,250.0,9.399631249924175e-17,0.06662981209965892,0.38366695441201726,1.3170371423123584,Deep OTM,0.01,0.0,0.01,2.0,178.0,1.1875040625,NVDA260223C00250000,2026-02-18 16:07:25+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,260.0,4.9298937550261793e-17,0.06662981209965892,0.4363484401045117,1.3697186280048528,Deep OTM,0.01,0.0,0.01,1.0,16.0,1.3437532812499997,NVDA260223C00260000,2026-02-13 20:51:57+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,270.0,3.980039393667989e-17,0.06662981209965892,0.4890299257970059,1.422400113697347,Deep OTM,0.01,0.0,0.01,170.0,211.0,1.5000025,NVDA260223C00270000,2026-02-18 20:59:08+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,280.0,1.0929619217743358e-17,0.06662981209965892,0.5417114114895003,1.4750815993898414,Deep OTM,0.01,0.0,0.01,2.0,3.0,1.625001875,NVDA260223C00280000,2026-02-13 14:30:03+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,put,2026-02-23,0.000790659376522,105.0,-1.3513703783660565e-17,0.06662981209965892,0.06662981209965892,0.5531555997711906,Deep OTM,0.01,0.0,0.01,1432.0,14003.0,2.50000375,NVDA260223P00105000,2026-02-18 20:57:24+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,put,2026-02-23,0.000790659376522,110.0,-1.8242621472421213e-17,0.06662981209965892,0.06662981209965892,0.5794963426174377,Deep OTM,0.01,0.0,0.01,5.0,68.0,2.31250421875,NVDA260223P00110000,2026-02-17 18:22:19+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,put,2026-02-23,0.000790659376522,115.0,-1.9230293071831986e-17,0.06662981209965892,0.06662981209965892,0.6058370854636849,Deep OTM,0.01,0.0,0.01,6.0,32.0,2.1250046875,NVDA260223P00115000,2026-02-17 20:35:29+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,put,2026-02-23,0.000790659376522,120.0,-1.51517106495697e-17,0.06662981209965892,0.06662981209965892,0.6321778283099321,Deep OTM,0.01,0.0,0.01,80.0,84.0,1.9375003125,NVDA260223P00120000,2026-02-18 20:57:08+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,put,2026-02-23,0.000790659376522,125.0,-9.906264503949483e-17,0.06662981209965892,0.06662981209965892,0.6585185711561792,Deep OTM,0.01,0.0,0.01,8.0,101.0,1.8125009375,NVDA260223P00125000,2026-02-19 16:23:14+00:00,0.0,0.0,False,REGULAR,USD,0.045,0.0,True,False
