snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,lastTradeDate,r,q,roe,moneyness,change,percentChange,contractSize,currency,moneyness_bucket,low_premium_flag
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,175.0,1.0,9.85,10.05,10.2,1329.0,999.0,0.5185595019531251,True,NVDA260218C00175000,2026-02-17 20:59:14+00:00,0.045,0.0,510.60185196832435,0.9460993612212443,1.0,11.299435,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,177.5,1.0,7.45,7.65,7.75,2684.0,776.0,0.436529072265625,True,NVDA260218C00177500,2026-02-17 20:54:20+00:00,0.045,0.0,386.1912484430474,0.9596150663815478,0.6999998,10.370368,REGULAR,USD,ATM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,180.0,0.9999999999843069,5.35,5.4,5.5,22868.0,2157.0,0.4018614501953125,True,NVDA260218C00180000,2026-02-17 20:59:51+00:00,0.045,0.0,277.33197035843,0.9731307715418512,0.4499998,9.183669,REGULAR,USD,ATM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,182.5,0.9998537271238865,3.45,3.35,3.45,46032.0,4012.0,0.36377589355468753,True,NVDA260218C00182500,2026-02-17 20:59:53+00:00,0.045,0.0,178.8402425675857,0.9866464767021548,0.20000005,6.153847,REGULAR,USD,ATM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,185.0,0.48216925891194246,1.78,1.77,1.8,93535.0,7479.0,0.33228206787109377,False,NVDA260218C00185000,2026-02-17 20:59:59+00:00,0.045,0.0,92.27119761458046,1.0001621818624582,-0.22000003,-11.000002,REGULAR,USD,ATM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,187.5,9.046236722688592e-06,0.73,0.71,0.73,74557.0,13098.0,0.3100654931640625,False,NVDA260218C00187500,2026-02-17 20:59:57+00:00,0.045,0.0,37.84155857227175,1.0136778870227616,-0.34000003,-31.775703,REGULAR,USD,ATM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,190.0,2.6382847632944723e-18,0.24,0.23,0.24,68137.0,23090.0,0.30371790039062496,False,NVDA260218C00190000,2026-02-17 20:59:58+00:00,0.045,0.0,12.4410603525277,1.0271935921830653,-0.26999998,-52.941174,REGULAR,USD,ATM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,192.5,2.57314225558582e-35,0.08,0.07,0.08,36863.0,10669.0,0.31641308593749995,False,NVDA260218C00192500,2026-02-17 20:59:58+00:00,0.045,0.0,4.147020117509234,1.0407092973433687,-0.16,-66.66667,REGULAR,USD,ATM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,195.0,9.964517937625354e-49,0.03,0.03,0.04,17309.0,15886.0,0.35352208984374994,False,NVDA260218C00195000,2026-02-17 20:59:33+00:00,0.045,0.0,1.5551325440659625,1.0542250025036721,-0.089999996,-75.0,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,197.5,2.295802736667317e-63,0.02,0.01,0.02,6820.0,10158.0,0.38281867187499996,False,NVDA260218C00197500,2026-02-17 20:56:56+00:00,0.045,0.0,1.0367550293773085,1.0677407076639758,-0.05,-71.42857,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,200.0,1.742026272109339e-76,0.01,0.0,0.01,3171.0,8737.0,0.414068359375,False,NVDA260218C00200000,2026-02-17 20:58:41+00:00,0.045,0.0,0.5183775146886542,1.0812564128242792,-0.03,-75.0,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,202.5,4.6066091156429144e-80,0.01,0.0,0.01,1009.0,2461.0,0.4687553125,False,NVDA260218C00202500,2026-02-17 20:45:35+00:00,0.045,0.0,0.5183775146886542,1.0947721179845826,-0.02,-66.66667,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,205.0,1.9359398932042078e-90,0.01,0.0,0.01,565.0,2701.0,0.500005,False,NVDA260218C00205000,2026-02-17 20:14:09+00:00,0.045,0.0,0.5183775146886542,1.108287823144886,-0.02,-66.66667,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,207.5,2.2366474705536672e-94,0.01,0.0,0.01,65.0,3484.0,0.5468795312500001,False,NVDA260218C00207500,2026-02-17 20:37:29+00:00,0.045,0.0,0.5183775146886542,1.1218035283051897,-0.01,-50.0,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,210.0,1.5351966585338172e-97,0.01,0.0,0.01,132.0,2306.0,0.5937540625000001,False,NVDA260218C00210000,2026-02-17 20:39:41+00:00,0.045,0.0,0.5183775146886542,1.1353192334654931,-0.01,-50.0,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,212.5,4.4053680076015715e-100,0.01,0.0,0.01,83.0,2426.0,0.64062859375,False,NVDA260218C00212500,2026-02-17 18:29:40+00:00,0.045,0.0,0.5183775146886542,1.1488349386257966,0.0,0.0,REGULAR,USD,OTM,True
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,220.0,4.973541769573339e-105,0.01,0.0,0.01,1010.0,5202.0,0.7812521875,False,NVDA260218C00220000,2026-02-13 20:58:22+00:00,0.045,0.0,0.5183775146886542,1.189382054106707,0.0,0.0,REGULAR,USD,OTM,True
